club,matched_team,score,badge_url,saved_file
Lanús,Lanús,1.000,https://r2.thesportsdb.com/images/media/team/badge/ddty0w1769146364.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\lanus.png
Los Andes,Los Andes,1.000,https://r2.thesportsdb.com/images/media/team/badge/yjfgav1626632717.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\los-andes.png
Newell's Old Boys,Newell's Old Boys,1.000,https://r2.thesportsdb.com/images/media/team/badge/23aftf1580842633.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\newell-s-old-boys.png
Nueva Chicago,Nueva Chicago,1.000,https://r2.thesportsdb.com/images/media/team/badge/b37wr31677635658.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\nueva-chicago.png
Patronato,Patronato,1.000,https://r2.thesportsdb.com/images/media/team/badge/diz3me1678849584.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\patronato.png
Platense,Platense,1.000,https://r2.thesportsdb.com/images/media/team/badge/lbs14n1769317149.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\platense.png
Quilmes,Quilmes,1.000,https://r2.thesportsdb.com/images/media/team/badge/1nj5uk1517769025.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\quilmes.png
Racing (Córdoba),Racing de Córdoba,0.983,https://r2.thesportsdb.com/images/media/team/badge/jeqlsn1677638050.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\racing-cordoba.png
Racing Club,Racing Club,1.000,https://r2.thesportsdb.com/images/media/team/badge/vi4mu41695734959.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\racing-club.png
River Plate,River Plate,1.000,https://r2.thesportsdb.com/images/media/team/badge/03dmi31645539717.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\river-plate.png
Rosario Central,Rosario Central,1.000,https://r2.thesportsdb.com/images/media/team/badge/y6q1ds1769660256.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\rosario-central.png
San Martín (SJ),San Martín,0.870,https://r2.thesportsdb.com/images/media/team/badge/lfbuwg1734661613.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\san-martin-sj.png
San Martín (Tucumán),San Martín de Tucumán,1.000,https://r2.thesportsdb.com/images/media/team/badge/xymq001532856832.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\san-martin-tucuman.png
San Miguel,San Miguel,1.000,https://r2.thesportsdb.com/images/media/team/badge/qa48v11714064966.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\san-miguel.png
San Telmo,San Telmo,1.000,https://r2.thesportsdb.com/images/media/team/badge/27ft411615822804.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\san-telmo.png
Sarmiento,Sarmiento,1.000,https://r2.thesportsdb.com/images/media/team/badge/xxofu71677634191.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\sarmiento.png
Temperley,Temperley,1.000,https://r2.thesportsdb.com/images/media/team/badge/48yf6p1517769378.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\temperley.png
Tigre,Tigre,1.000,https://r2.thesportsdb.com/images/media/team/badge/krryg71765858882.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\tigre.png
Tristán Suárez,Tristán Suárez,1.000,https://r2.thesportsdb.com/images/media/team/badge/6ohsr31775838113.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\tristan-suarez.png
Unión,Unión,1.000,https://r2.thesportsdb.com/images/media/team/badge/btnx6q1734587495.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\union.png
Vélez Sarsfield,Vélez Sarsfield,1.000,https://r2.thesportsdb.com/images/media/team/badge/jo98m71517769587.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\velez-sarsfield.png
